,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,탈퇴여부,연령대,구,동
211,1017620672,정상회원,수지구-상현동,여,47.0,미신청,.,normal,정상,40대,수지구,상현동
212,1017633664,정상회원,수지구-상현동,여,53.0,미신청,.,normal,정상,50대,수지구,상현동
213,1017680064,정상회원,수지구-동천동,여,47.0,미신청,.,normal,정상,40대,수지구,동천동
214,1017685632,정상회원,수지구-동천동,여,58.0,미신청,.,normal,정상,50대,수지구,동천동
215,1017912064,정상회원,수지구-풍덕천동,여,40.0,미신청,.,normal,정상,40대,수지구,풍덕천동
216,1017975168,정상회원,수지구-상현동,여,48.0,미신청,.,normal,정상,40대,수지구,상현동
217,1018008576,정상회원,수지구-풍덕천동,남,51.0,미신청,.,normal,정상,50대,수지구,풍덕천동
218,1018218304,정상회원,기타-기타,여,63.0,미신청,.,normal,정상,60대,기타,기타
219,1018381632,정상회원,수지구-상현동,여,43.0,미신청,.,normal,정상,40대,수지구,상현동
220,1018557952,정상회원,기타-기타,여,45.0,미신청,.,normal,정상,40대,기타,기타
221,1018583936,정상회원,수지구-상현동,남,44.0,미신청,.,normal,정상,40대,수지구,상현동
222,1018615488,정상회원,수지구-신봉동,여,38.0,신청,.,normal,정상,30대,수지구,신봉동
223,1018630336,정상회원,수지구-신봉동,여,39.0,미신청,.,normal,정상,30대,수지구,신봉동
224,1018734272,탈퇴,수지구-동천동,여,51.0,미신청,.,normal,탈퇴,50대,수지구,동천동
225,1018997824,정상회원,수지구-동천동,여,41.0,미신청,.,normal,정상,40대,수지구,동천동
226,1019151872,정상회원,수지구-동천동,여,42.0,미신청,수신,normal,정상,40대,수지구,동천동
227,1019185280,정상회원,수지구-상현동,여,43.0,미신청,.,normal,정상,40대,수지구,상현동
228,1019259520,정상회원,수지구-상현동,여,62.0,미신청,.,normal,정상,60대,수지구,상현동
229,1019318912,정상회원,기흥구-마북동,여,40.0,미신청,.,normal,정상,40대,기흥구,마북동
230,1019435840,정상회원,수지구-동천동,여,58.0,미신청,.,normal,정상,50대,수지구,동천동
231,1019446976,정상회원,수지구-상현동,여,47.0,미신청,.,normal,정상,40대,수지구,상현동
232,101946368,정상회원,수지구-죽전동,여,46.0,미신청,.,normal,정상,40대,수지구,죽전동
233,1019582464,정상회원,수지구-죽전동,여,50.0,미신청,.,normal,정상,50대,수지구,죽전동
234,1019597312,정상회원,수지구-동천동,여,38.0,미신청,.,normal,정상,30대,수지구,동천동
235,1019647424,정상회원,수지구-동천동,여,54.0,미신청,수신,VIP,정상,50대,수지구,동천동
236,1019649280,정상회원,수지구-동천동,여,42.0,미신청,.,normal,정상,40대,수지구,동천동
237,1019884992,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,정상,40대,수지구,풍덕천동
238,1019894272,정상회원,광주-오포읍,여,36.0,미신청,.,normal,정상,30대,광주,오포읍
239,1020024192,정상회원,수지구-동천동,여,72.0,신청,.,normal,정상,70대,수지구,동천동
240,1020070592,정상회원,기타-기타,여,42.0,미신청,.,normal,정상,40대,기타,기타
241,1020172672,정상회원,수지구-동천동,여,48.0,미신청,.,normal,정상,40대,수지구,동천동
242,1020189376,정상회원,수지구-신봉동,여,48.0,미신청,.,normal,정상,40대,수지구,신봉동
243,1020361984,정상회원,수지구-동천동,여,42.0,미신청,.,normal,정상,40대,수지구,동천동
244,1020373120,정상회원,수지구-풍덕천동,여,45.0,미신청,.,normal,정상,40대,수지구,풍덕천동
245,1020384256,정상회원,기타-기타,여,40.0,미신청,.,normal,정상,40대,기타,기타
246,1020462208,정상회원,수지구-동천동,여,52.0,미신청,.,normal,정상,50대,수지구,동천동
247,1021475584,정상회원,기타-기타,여,57.0,미신청,.,normal,정상,50대,기타,기타
248,1021718720,정상회원,기타-기타,여,59.0,미신청,.,normal,정상,50대,기타,기타
249,1021731712,정상회원,기타-기타,여,56.0,미신청,.,normal,정상,50대,기타,기타
250,102178368,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,정상,40대,수지구,풍덕천동
251,1021813376,정상회원,기타-기타,여,55.0,미신청,.,normal,정상,50대,기타,기타
252,1022654144,정상회원,수지구-성복동,여,57.0,미신청,.,normal,정상,50대,수지구,성복동
253,1023006784,정상회원,수지구-상현동,여,39.0,미신청,.,normal,정상,30대,수지구,상현동
254,1023025344,정상회원,수지구-동천동,여,67.0,미신청,.,normal,정상,60대,수지구,동천동
255,1023027200,정상회원,수지구-동천동,여,45.0,미신청,.,normal,정상,40대,수지구,동천동
256,1023108864,정상회원,수지구-풍덕천동,여,36.0,미신청,수신,normal,정상,30대,수지구,풍덕천동
257,1023140416,정상회원,수지구-풍덕천동,여,47.0,미신청,.,normal,정상,40대,수지구,풍덕천동
258,1023218368,정상회원,수지구-상현동,여,47.0,미신청,.,normal,정상,40대,수지구,상현동
259,102328704,정상회원,기타-기타,남,44.0,미신청,.,normal,정상,40대,기타,기타
260,1023609984,정상회원,수지구-동천동,여,40.0,미신청,.,normal,정상,40대,수지구,동천동
261,1023613696,정상회원,수지구-동천동,여,49.0,미신청,.,normal,정상,40대,수지구,동천동
262,1023877248,정상회원,서울 송파구-기타,여,35.0,미신청,.,normal,정상,30대,서울 송파구,기타
263,1024036864,정상회원,수지구-동천동,여,60.0,미신청,.,normal,정상,60대,수지구,동천동
264,1024111104,정상회원,수지구-상현동,여,49.0,미신청,.,normal,정상,40대,수지구,상현동
265,1024185344,정상회원,수지구-상현동,여,64.0,미신청,.,normal,정상,60대,수지구,상현동
266,1024207616,정상회원,기타-기타,여,57.0,미신청,.,normal,정상,50대,기타,기타
267,1024281856,정상회원,수지구-동천동,여,39.0,신청,.,normal,정상,30대,수지구,동천동
268,1024437760,정상회원,서울 송파구-기타,여,38.0,미신청,.,normal,정상,30대,서울 송파구,기타
269,1024471168,정상회원,수지구-동천동,여,41.0,미신청,.,normal,정상,40대,수지구,동천동
270,1024500864,정상회원,수지구-풍덕천동,여,45.0,미신청,수신,normal,정상,40대,수지구,풍덕천동
